FP2-F4,GSR
257,9
257,6
257,9
257,9
257,6
256,8
256,6
256,8
256,6
256,9
256,7
256,6
256,10
256,8
256,9
256,8
256,10
255,9
255,7
255,8
255,7
255,6
255,9
255,6
255,10
255,10
254,6
254,9
254,8
254,9
254,6
253,8
253,6
253,9
253,8
253,7
253,10
253,9
253,10
253,9
253,9
253,9
253,6
253,9
252,7
252,6
252,6
252,8
252,7
252,7
252,10
251,10
251,10
251,7
251,8
250,9
250,8
250,6
250,7
250,10
250,10
250,7
250,7
250,7
250,8
250,8
250,8
249,7
249,7
249,6
249,9
249,9
249,9
248,10
248,6
248,9
248,6
248,8
247,9
247,8
247,6
247,6
247,9
247,9
247,6
247,6
247,7
247,8
247,8
246,10
246,8
246,7
246,7
246,8
246,10
246,6
246,6
245,10
245,9
245,9
244,9
244,8
244,9
244,10
244,9
244,10
244,10
244,8
244,6
244,8
244,7
244,6
244,8
244,9
243,10
243,10
243,9
243,6
243,8
243,9
243,9
243,8
243,10
243,8
243,6
243,7
243,8
243,9
243,10
243,10
242,6
242,10
242,7
242,9
242,10
242,8
242,8
242,9
242,10
242,8
241,10
241,7
241,10
241,8
241,10
241,10
241,9
241,9
241,10
241,8
241,8
241,9
241,10
240,8
240,10
240,10
240,7
240,6
240,9
240,9
240,10
240,10
240,9
240,8
240,6
240,10
239,8
239,10
239,6
239,10
239,6
239,8
239,7
238,6
238,6
238,7
238,6
238,7
238,10
238,8
238,9
238,7
238,8
238,7
237,10
237,6
237,7
237,9
237,9
237,8
237,9
237,8
237,6
237,10
236,9
236,7
236,10
236,8
236,7
236,10
236,9
236,10
236,10
236,6
236,7
236,6
236,10
236,6
236,8
236,8
236,7
236,10
235,7
235,7
235,6
235,8
235,10
235,6
235,10
235,9
235,7
235,6
235,8
235,10
235,9
235,9
235,7
234,7
234,8
234,6
234,9
234,8
234,6
234,6
234,10
233,10
233,6
233,10
233,6
233,8
233,10
233,7
233,6
233,10
232,9
232,7
232,7
232,10
232,8
232,6
232,8
232,7
232,8
232,8
232,10
232,7
231,6
231,9
231,8
231,9
231,9
231,8
231,8
231,6
231,8
231,6
231,7
230,9
230,9
230,7
230,6
230,10
230,7
230,9
230,7
230,8
230,8
230,9
230,8
229,9
229,6
229,9
229,6
229,7
229,8
229,10
228,6
228,7
228,7
228,6
228,7
228,6
228,8
228,7
228,7
228,6
228,8
228,7
227,8
227,6
227,7
227,10
227,8
227,7
227,10
227,9
227,7
227,9
227,10
227,9
227,10
227,9
227,6
227,8
227,8
227,9
227,6
227,8
227,6
227,10
227,6
227,9
227,8
226,7
226,6
226,8
226,6
226,6
226,10
226,9
226,6
226,6
226,10
226,7
226,8
226,8
226,10
226,9
226,9
226,9
226,8
226,8
226,9
226,6
226,10
226,9
225,8
225,10
225,8
225,10
225,10
225,6
225,10
225,9
225,6
224,7
224,10
224,8
224,7
224,6
224,7
224,9
224,8
224,10
224,7
224,7
224,8
224,9
224,7
223,6
223,10
223,6
223,10
223,10
223,6
223,6
223,9
223,10
223,7
223,7
223,9
223,7
223,6
223,8
223,6
222,7
222,8
222,8
222,6
222,7
222,8
222,9
222,8
221,7
221,6
221,8
221,8
221,8
221,10
221,6
221,10
221,8
221,8
220,8
220,8
220,10
220,9
220,6
220,7
220,6
220,8
220,7
220,8
219,10
219,6
219,10
219,7
219,10
219,7
219,7
219,8
219,7
219,6
219,7
219,7
219,8
219,9
219,8
218,6
218,8
218,9
218,10
218,9
218,7
218,6
218,7
218,9
218,7
218,9
218,6
218,6
218,8
218,8
217,9
217,8
217,6
217,7
217,10
217,10
217,8
217,8
217,10
217,8
217,8
217,8
217,10
217,8
217,9
217,7
217,7
217,8
217,8
217,7
217,7
217,6
217,8
217,7
217,8
217,8
217,10
216,10
216,7
216,10
216,6
216,9
216,6
216,7
216,10
216,8
216,8
216,9
216,9
216,9
216,9
216,6
216,8
215,7
215,6
215,6
215,9
215,7
215,6
215,10
215,6
215,10
215,6
215,10
215,6
215,9
215,8
215,7
215,8
215,8
215,7
215,8
215,7
215,9
215,10
215,9
215,7
215,8
214,7
214,7
214,6
214,10
214,7
214,6
214,10
214,9
214,7
214,8
214,7
214,8
214,10
214,6
214,7
214,10
214,6
214,10
214,10
214,10
214,7
214,8
213,10
213,8
213,10
213,9
213,8
213,9
213,10
213,9
213,8
213,6
213,9
213,9
213,10
213,10
213,7
213,10
213,7
213,8
213,6
213,6
212,10
212,8
212,10
212,9
212,6
212,8
212,9
212,9
212,7
212,6
212,8
212,6
212,9
212,7
212,8
212,8
212,8
212,7
212,9
212,9
212,7
212,7
212,10
212,7
212,8
212,6
212,8
212,10
212,8
212,8
211,7
211,10
211,9
211,7
211,6
211,9
211,7
211,6
211,10
211,6
211,6
211,7
211,8
211,6
211,8
211,7
211,7
211,6
211,6
211,8
210,10
210,8
210,9
210,6
210,9
210,9
210,8
210,10
210,7
210,9
210,10
210,8
210,6
210,9
210,8
210,10
210,8
210,8
210,7
210,10
210,10
209,8
209,9
209,7
209,10
209,7
209,10
209,7
209,10
209,10
209,8
209,7
209,7
209,10
209,7
209,8
209,10
209,8
209,10
209,6
209,10
209,10
209,9
209,9
209,9
209,10
209,6
209,7
209,9
209,10
208,6
208,6
208,6
208,8
208,9
208,6
208,10
208,8
208,8
208,9
208,7
208,9
208,9
208,8
208,7
208,6
208,8
208,6
208,8
208,6
208,6
208,8
208,7
208,8
208,10
208,9
207,10
207,8
207,8
207,7
207,6
207,9
207,9
207,7
207,9
207,10
207,8
207,8
207,9
207,6
207,8
207,6
207,7
207,10
207,8
207,10
206,6
206,6
206,8
206,8
206,7
206,6
206,10
206,8
206,7
206,7
206,10
206,6
206,7
206,7
206,10
206,10
206,6
206,7
206,9
206,9
206,10
206,9
206,6
206,6
206,9
205,9
205,9
205,9
205,9
205,6
205,7
205,10
205,10
205,9
205,9
205,8
205,10
205,6
205,9
205,10
205,8
205,7
205,8
205,10
205,8
205,7
205,6
205,6
205,9
205,9
205,8
205,8
205,8
205,8
204,6
204,9
204,7
204,6
204,7
204,10
204,9
204,7
204,7
204,10
204,9
204,6
204,8
204,6
204,9
204,10
204,6
204,7
204,8
204,8
204,9
204,9
204,9
204,8
204,8
204,6
204,9
204,6
204,7
204,6
204,6
204,7
203,9
203,10
203,8
203,10
203,8
203,9
203,10
203,6
203,9
203,6
203,8
203,9
203,6
203,10
203,9
203,10
203,10
203,8
203,9
203,9
203,6
203,7
203,10
203,9
203,6
203,7
203,9
203,8
203,9
203,7
203,6
203,7
203,10
203,7
203,9
203,6
203,10
203,10
203,8
203,7
203,9
202,6
202,7
202,10
202,10
202,8
202,10
202,8
202,8
202,8
202,9
202,8
202,6
202,9
202,10
202,6
202,10
202,6
202,10
202,9
201,7
201,8
201,10
201,10
201,6
201,6
201,9
201,7
201,7
201,6
201,8
201,7
201,7
201,9
201,9
201,8
201,9
201,10
201,10
201,7
200,7
200,7
200,8
200,9
200,8
200,9
200,10
200,9
200,7
200,9
200,6
200,10
200,6
200,8
200,9
200,8
200,9
200,7
200,9
200,10
200,7
200,6
200,6
199,9
199,9
199,10
199,7
199,7
199,7
199,9
199,10
199,9
199,9
199,9
199,7
199,9
199,10
199,7
199,6
199,8
199,9
199,9
199,9
199,7
199,8
199,10
199,8
199,6
199,10
198,7
198,10
198,9
198,6
198,8
198,6
198,6
198,8
198,10
198,6
198,9
198,8
198,8
198,10
198,9
198,7
198,7
198,6
198,7
198,6
198,6
198,6
198,7
198,8
197,9
197,8
197,6
197,7
197,8
197,9
197,8
197,9
197,6
197,7
197,7
197,8
197,7
197,7
197,10
197,9
197,10
197,10
197,10
197,10
197,8
197,9
197,10
197,10
197,6
197,7
197,8
197,9
196,8
196,10
196,6
196,7
196,7
196,8
196,7
196,6
196,6
196,10
196,8
196,8
196,8
196,8
196,7
196,10
196,9
196,6
196,8
196,6
196,6
196,6
196,7
196,9
196,7
196,9
196,10
195,10
195,9
195,7
195,10
195,8
195,6
195,8
195,6
195,6
195,8
195,8
195,9
195,9
195,8
195,8
195,7
195,9
195,8
195,10
195,10
195,6
195,9
195,7
195,7
195,6
195,7
195,9
195,7
195,6
195,9
195,8
195,6
195,9
195,7
195,10
194,7
194,7
194,9
194,8
194,10
194,6
194,6
194,8
194,7
194,7
194,10
194,9
194,6
194,8
194,9
194,9
194,9
194,9
194,6
194,6
194,7
194,6
194,8
194,7
194,10
194,10
194,7
193,6
193,7
193,6
193,6
193,10
193,9
193,8
193,10
193,6
193,7
193,10
193,6
193,6
193,7
193,7
193,8
193,8
193,9
193,6
193,6
193,7
193,6
193,8
193,8
192,6
192,7
192,9
192,7
192,8
192,6
192,6
192,8
192,7
192,6
192,9
192,10
192,9
192,8
192,8
192,7
192,8
192,6
192,7
192,9
192,9
192,6
192,10
192,10
192,10
192,6
192,9
192,6
192,6
192,7
192,6
192,6
191,8
191,10
191,8
191,8
191,7
191,10
191,9
191,8
191,8
191,10
191,7
191,6
191,10
191,10
191,6
191,9
191,6
191,6
191,9
191,6
191,6
191,8
191,6
191,9
191,8
191,7
191,6
191,6
191,9
191,9
191,9
191,7
191,7
191,10
191,8
191,7
190,7
190,8
190,7
190,7
190,8
190,7
190,9
190,6
190,6
190,6
190,9
190,7
190,9
190,6
190,10
190,10
190,6
190,7
190,10
190,8
190,10
190,8
190,10
190,6
190,6
190,6
190,7
190,9
190,9
190,10
190,8
190,8
190,10
190,7
190,6
190,9
190,9
190,6
189,6
189,7
189,10
189,9
189,10
189,6
189,10
189,10
189,8
189,9
189,10
189,8
189,6
189,8
189,7
189,9
189,10
189,9
189,7
189,8
189,10
189,10
189,6
189,6
189,7
189,10
189,9
189,6
189,10
189,10
189,10
189,9
188,6
188,10
188,6
188,10
188,8
188,9
188,6
188,7
188,10
188,8
188,7
188,9
188,10
188,6
188,9
188,9
188,7
188,10
188,9
188,9
188,10
188,7
188,9
188,8
188,9
188,6
188,7
188,10
187,6
187,9
187,8
187,10
187,7
187,9
187,10
187,10
187,8
187,7
187,7
187,6
187,10
187,6
187,6
187,6
187,7
187,9
187,7
187,9
187,10
187,10
187,6
187,9
187,8
187,6
187,9
187,9
187,10
187,10
187,10
187,9
187,6
187,8
187,6
187,9
187,9
187,9
187,9
186,8
186,7
186,7
186,8
186,8
186,9
186,7
186,8
186,7
186,9
186,6
186,10
186,10
186,8
186,9
186,6
186,8
186,8
186,10
186,6
186,9
186,6
186,10
186,10
186,8
186,8
186,8
186,7
186,10
186,7
186,9
186,9
186,6
186,8
186,8
186,8
186,9
186,6
186,7
186,9
185,9
185,9
185,6
185,7
185,8
185,7
185,9
185,7
185,7
185,6
185,7
185,7
185,8
185,7
185,10
185,7
185,10
185,7
185,8
185,8
185,8
185,7
185,6
185,6
185,6
185,8
185,6
185,9
185,10
185,7
185,7
185,7
185,10
184,7
184,7
184,6
184,7
184,8
184,8
184,10
184,9
184,10
184,7
184,8
184,6
184,7
184,9
184,10
184,10
184,7
184,9
184,10
184,6
184,7
184,9
184,8
184,10
184,10
184,9
184,6
184,7
184,7
184,6
184,8
184,8
184,7
184,8
184,6
184,9
184,7
184,10
184,10
184,8
183,9
183,6
183,6
183,9
183,8
183,8
183,7
183,7
183,7
183,9
183,6
183,10
183,10
183,10
183,8
183,7
183,10
183,6
183,6
183,8
183,7
183,10
183,8
183,7
183,8
183,9
183,8
183,7
183,7
183,10
183,10
183,6
183,6
183,6
183,10
183,6
183,7
183,9
183,10
182,8
182,6
182,7
182,7
182,10
182,10
182,9
182,10
182,6
182,9
182,6
182,9
182,6
182,8
182,9
182,6
182,10
182,7
182,9
182,10
182,6
182,8
182,6
182,10
182,10
182,10
182,8
182,9
182,9
182,10
182,8
182,6
182,8
182,6
182,7
182,9
182,8
182,8
182,6
182,6
182,8
182,9
182,9
182,6
182,8
182,10
182,8
182,6
181,7
181,7
181,8
181,6
181,8
181,9
181,10
181,10
181,6
181,7
181,7
181,7
181,10
181,9
181,7
181,10
181,10
181,7
181,9
181,7
181,9
181,8
181,10
181,9
181,8
181,8
181,10
181,10
181,9
181,9
181,6
181,6
181,7
181,7
181,7
181,6
181,6
181,8
181,10
181,9
181,8
181,7
181,8
181,9
180,10
180,7
180,8
180,8
180,8
180,6
180,10
180,6
180,7
180,6
180,9
180,9
180,8
180,6
180,6
180,8
180,7
180,6
180,7
180,9
180,10
180,9
180,8
180,9
180,9
180,6
180,7
180,10
180,7
180,8
180,8
180,10
180,7
180,8
180,6
180,8
180,7
180,10
179,8
179,6
179,6
179,9
179,8
179,8
179,6
179,7
179,10
179,10
179,10
179,6
179,6
179,9
179,7
179,8
179,8
179,8
179,6
179,10
179,7
179,6
179,6
179,8
179,10
179,8
179,9
179,10
179,7
179,8
179,7
179,7
179,9
179,6
179,6
179,7
179,6
179,6
179,7
178,6
178,9
178,6
178,7
178,8
178,8
178,7
178,6
178,10
178,10
178,6
178,6
178,7
178,8
178,10
178,9
178,8
178,10
178,10
178,7
178,8
178,8
178,10
178,6
178,7
178,6
178,7
178,10
178,10
178,9
178,9
178,10
178,6
178,10
178,10
178,7
178,8
178,9
178,8
178,7
178,6
178,7
178,6
178,10
178,7
178,6
178,9
178,6
178,7
178,8
178,7
178,7
178,10
178,7
178,7
178,7
178,8
178,7
178,9
178,10
178,7
178,6
177,9
177,10
177,7
177,7
177,9
177,6
177,8
177,6
177,9
177,7
177,6
177,10
177,6
177,9
177,6
177,10
177,10
177,7
177,8
177,10
177,6
177,9
177,9
177,9
177,10
177,7
177,7
177,10
177,6
177,8
177,6
177,6
177,10
177,10
177,7
177,8
177,9
177,10
177,9
177,10
177,10
177,6
177,7
177,8
177,8
177,7
177,8
177,9
177,7
177,9
177,9
177,6
177,8
177,7
177,7
177,7
176,8
176,9
176,8
176,9
176,10
176,10
176,6
176,9
176,8
176,9
176,6
176,6
176,8
176,8
176,9
176,10
176,6
176,10
176,9
176,8
176,6
176,7
176,10
176,6
176,7
176,10
176,7
176,7
176,6
176,9
176,6
176,9
176,6
176,7
176,7
176,7
176,6
176,8
176,7
176,9
176,7
176,10
176,7
175,8
175,8
175,6
175,10
175,10
175,7
175,8
175,6
175,7
175,9
175,10
175,8
175,8
175,9
175,10
175,10
175,6
175,8
175,7
175,10
175,9
175,8
175,7
175,9
175,9
175,8
175,10
175,6
175,9
175,9
175,6
175,8
175,9
175,6
175,10
175,8
175,10
175,6
175,8
175,8
175,6
175,7
175,10
175,10
175,6
175,7
175,10
175,8
175,8
175,8
175,9
175,9
175,6
174,8
174,10
174,10
174,7
174,7
174,9
174,9
174,9
174,8
174,6
174,7
174,10
174,6
174,8
174,9
174,7
174,8
174,6
174,8
174,7
174,9
174,9
174,7
174,7
174,9
174,9
174,6
174,6
174,6
174,6
174,7
174,9
174,6
174,8
174,9
174,8
174,8
174,10
174,9
174,10
174,7
174,7
174,9
174,10
174,8
174,8
174,8
174,7
174,7
174,8
174,10
174,8
174,6
174,10
174,9
174,9
174,9
174,10
174,6
174,6
174,10
174,9
173,8
173,6
173,7
173,6
173,6
173,7
173,10
173,10
173,9
173,9
173,9
173,6
173,10
173,6
173,6
173,9
173,9
173,10
173,7
173,6
173,9
173,10
173,8
173,6
173,7
173,6
173,9
173,10
173,6
173,8
173,9
173,8
173,8
173,9
173,8
173,10
173,6
173,7
173,7
173,7
173,10
173,9
173,9
173,10
173,7
173,6
173,6
173,6
172,9
172,10
172,7
172,8
172,8
172,7
172,10
172,8
172,9
172,7
172,9
172,6
172,9
172,7
172,8
172,9
172,10
172,10
172,10
172,7
172,9
172,8
172,8
172,6
172,6
172,10
172,6
172,8
172,9
172,7
172,9
172,6
172,7
172,6
172,10
172,6
172,6
172,6
172,8
172,10
172,10
172,9
172,8
172,10
172,10
172,9
172,8
172,6
172,7
172,8
172,6
172,7
172,9
172,8
172,7
172,8
172,10
172,7
172,6
172,7
172,10
171,8
171,7
171,6
171,10
171,10
171,9
171,8
171,8
171,9
171,8
171,10
171,6
171,7
171,9
171,8
171,6
171,7
171,8
171,8
171,10
171,9
171,10
171,9
171,10
171,10
171,9
171,9
171,10
171,8
171,9
171,10
171,7
171,10
171,6
171,7
171,10
171,10
171,7
171,10
171,8
171,10
171,8
171,10
171,7
171,7
171,8
171,8
171,7
171,7
171,10
171,8
171,6
170,10
170,6
170,8
170,9
170,6
170,6
170,10
170,7
170,7
170,9
170,9
170,8
170,8
170,7
170,9
170,10
170,7
170,9
170,7
170,7
170,7
170,10
170,6
170,10
170,10
170,9
170,6
170,7
170,10
170,8
170,6
170,10
170,8
170,9
170,6
170,9
170,10
170,9
170,9
170,6
170,10
170,7
170,6
170,7
170,7
170,7
170,6
170,8
170,10
170,7
170,7
170,9
170,8
170,6
170,10
170,6
170,6
170,7
170,7
170,6
170,9
170,8
170,7
170,8
170,6
170,6
170,6
169,10
169,7
169,8
169,8
169,8
169,9
169,6
169,7
169,9
169,8
169,7
169,6
169,7
169,7
169,9
169,7
169,8
169,6
169,10
169,10
169,6
169,6
169,9
169,6
169,9
169,10
169,8
169,7
169,9
169,7
169,7
169,7
169,9
169,7
169,6
169,6
169,10
169,6
169,10
169,6
169,8
169,6
169,10
169,9
169,9
169,7
169,7
169,7
169,9
169,8
169,7
169,9
169,9
168,8
168,7
168,7
168,10
168,8
168,9
168,6
168,10
168,10
168,9
168,10
168,10
168,9
168,8
168,8
168,8
168,9
168,9
168,10
168,8
168,7
168,6
168,10
168,8
168,9
168,7
168,8
168,6
168,7
168,9
168,10
168,7
168,9
168,7
168,7
168,7
168,6
168,7
168,10
168,9
168,10
168,7
168,6
168,10
168,6
168,10
168,6
168,8
168,7
168,6
168,8
168,6
168,7
168,7
168,8
168,6
168,7
168,10
168,7
168,10
168,8
168,9
168,8
168,7
168,10
167,6
167,6
167,7
167,10
167,10
167,8
167,6
167,9
167,10
167,6
167,10
167,6
167,9
167,9
167,6
167,6
167,8
167,7
167,7
167,10
167,8
167,9
167,6
167,8
167,7
167,9
167,8
167,7
167,8
167,10
167,10
167,7
167,10
167,8
167,10
167,8
167,9
167,7
167,10
167,7
167,6
167,6
167,10
167,6
167,7
167,8
167,7
167,8
167,8
167,9
167,7
167,7
167,9
167,8
167,8
166,9
166,6
166,8
166,8
166,10
166,6
166,8
166,6
166,10
166,10
166,6
166,6
166,9
166,10
166,7
166,9
166,6
166,7
166,10
166,8
166,10
166,9
166,7
166,6
166,10
166,10
166,6
166,10
166,6
166,7
166,10
166,6
166,9
166,7
166,9
166,8
166,10
166,6
166,7
166,9
166,6
166,9
166,9
166,9
166,7
166,9
166,6
166,10
166,8
166,7
166,8
166,9
166,8
166,10
166,8
166,8
166,6
166,7
166,10
166,10
166,7
166,9
166,8
166,6
166,7
166,10
166,10
166,7
166,10
165,10
165,10
165,7
165,8
165,8
165,7
165,7
165,10
165,6
165,10
165,6
165,6
165,10
165,9
165,8
165,7
165,9
165,8
165,6
165,9
165,6
165,9
165,7
165,6
165,6
165,7
165,7
165,8
165,6
165,8
165,7
165,9
165,9
165,10
165,8
165,9
165,9
165,10
165,6
165,10
165,6
165,8
165,7
165,9
165,7
165,6
165,9
165,6
165,6
165,10
165,6
165,10
165,10
165,9
165,7
165,9
165,6
165,9
165,6
165,7
165,6
165,9
165,8
165,7
165,6
165,6
165,8
165,8
165,9
165,9
164,7
164,6
164,9
164,8
164,9
164,7
164,10
164,8
164,6
164,7
164,6
164,6
164,10
164,10
164,7
164,7
164,7
164,7
164,8
164,6
164,8
164,9
164,6
164,8
164,8
164,6
164,8
164,8
164,6
164,7
164,7
164,10
164,6
164,6
164,6
164,10
164,10
164,7
164,10
164,8
164,7
164,7
164,10
164,10
164,8
164,8
164,6
164,6
164,9
164,6
164,8
164,10
164,8
164,7
164,8
164,6
164,10
164,6
164,6
164,9
164,10
164,10
163,6
163,6
163,9
163,7
163,7
163,10
163,10
163,10
163,7
163,7
163,7
163,9
163,9
163,9
163,9
163,8
163,7
163,7
163,9
163,9
163,8
163,8
163,9
163,7
163,8
163,7
163,10
163,6
163,7
163,7
163,6
163,10
163,9
163,7
163,8
163,9
163,9
163,7
163,7
163,7
163,9
163,9
163,10
163,8
163,10
163,10
163,6
163,8
163,7
163,7
163,10
163,7
163,6
163,7
163,10
163,7
163,8
163,7
163,6
163,8
163,6
163,9
163,6
163,10
163,8
163,7
163,9
163,6
163,7
163,9
163,10
163,10
163,10
163,10
163,6
163,7
163,6
163,10
163,9
163,8
163,6
163,8
163,7
163,8
163,7
163,8
163,7
163,8
163,6
163,6
163,7
163,7
163,7
162,6
162,6
162,8
162,9
162,10
162,9
162,8
162,9
162,6
162,8
162,6
162,6
162,7
162,6
162,10
162,6
162,6
162,8
162,9
162,9
162,8
162,9
162,7
162,7
162,9
162,10
162,10
162,7
162,8
162,6
162,10
162,9
162,6
162,10
162,7
162,7
162,8
162,10
162,6
162,7
162,10
162,8
162,8
162,6
162,9
162,8
162,9
162,6
162,7
162,9
162,6
162,6
162,6
162,10
162,8
162,7
162,10
162,6
162,6
162,10
162,7
162,6
162,8
162,9
162,8
162,10
162,8
162,6
162,9
162,7
162,7
162,10
162,9
162,7
162,6
162,7
162,10
162,8
162,9
161,9
161,10
161,10
161,8
161,8
161,8
161,9
161,10
161,7
161,8
161,10
161,6
161,8
161,6
161,7
161,10
161,7
161,9
161,9
161,10
161,7
161,6
161,7
161,9
161,10
161,10
161,9
161,9
161,9
161,7
161,8
161,9
161,8
161,7
161,8
161,6
161,6
161,7
161,6
161,8
161,10
161,7
161,6
161,9
161,6
161,10
161,6
161,7
161,8
161,6
161,9
161,10
161,9
161,7
161,10
161,8
161,10
161,7
161,10
161,8
161,6
161,6
161,7
161,7
161,7
161,9
161,7
161,7
160,10
160,7
160,10
160,6
160,10
160,10
160,7
160,6
160,6
160,9
160,9
160,10
160,8
160,9
160,9
160,9
160,10
160,9
160,9
160,10
160,8
160,9
160,9
160,8
160,10
160,8
160,6
160,10
160,6
160,9
